"","V1"
"y",1
"Y",0.496601566380476
"Y",0.958904029864377
"Y",0.635781884841306
"Y",0.44634446508624
"Y",0.850280823877449
"Y",1.10743845167889
"Y",1.04954024755926
"Y",1.00269517005439
"Y",1.88405661613222
"Y",1.32561176971082
"Y",2.49578961778016
"Y",2.95077616698209
"Y",2.69533944056763
"Y",2.46868691995643
"Y",3.06786204017525
"Y",3.0381422503015
"Y",3.24132955343344
"Y",3.71136041798303
"Y",3.81171530828798
"Y",3.98686105780631
"Y",4.13519100219579
"Y",4.46812472208153
"Y",4.31750696433972
"Y",4.69943510631444
"Y",4.59100942820034
"Y",4.67011976356843
"Y",4.78510215126658
"Y",4.88094028653975
"Y",4.65442060446578
"Y",4.81126154220571
"Y",4.69794240081337
"Y",5.1083409170299
"Y",4.56283575883125
"Y",4.48749635338729
"Y",4.63733360237865
"Y",5.06782133351253
"Y",5.19298934988105
"Y",5.34035189443192
"Y",4.96365569699806
"Y",5.13373514674024
"Y",6.64324223583983
"Y",5.99710897112869
"Y",6.23159215629424
"Y",5.73905471272969
"Y",6.26613413668268
"Y",6.63005693213664
"Y",6.700273721607
"Y",6.77463340538369
"Y",7.39195859541271
"Y",8.00440527901201
"Y",8.24056346073876
"Y",8.4133303334908
"Y",8.68653962357827
"Y",8.71325019918645
"Y",8.12161392348766
"Y",8.22026301365478
"Y",8.32986210754088
"Y",8.34603312022254
"Y",8.3648033849306
"Y",9.03284919055161
"Y",9.11260487685962
"Y",8.79138222672509
"Y",8.93823548352098
"Y",9.48836515973433
"Y",9.20318181890964
"Y",8.62005582606399
"Y",8.7137733446171
"Y",9.80471671991831
"Y",10.290105506973
"Y",10.2520923861817
"Y",9.73448503415409
"Y",10.1334615914789
"Y",10.4736306854399
"Y",10.4772071532948
"Y",10.8121915312855
"Y",10.9641885363861
"Y",11.4638244548919
"Y",11.7493804501682
"Y",13.9445344005629
"Y",14.5579189080721
"Y",14.8100857525645
"Y",15.1911316662205
"Y",15.6945340608431
"Y",15.9330522271078
"Y",16.3251823568644
"Y",16.146108358883
"Y",15.1823427346883
"Y",15.2561128070337
"Y",15.3625635126655
"Y",14.7320624683058
"Y",14.859394928362
"Y",14.9974080358924
"Y",14.7550509583032
"Y",14.7871917232791
"Y",14.5270452455251
"Y",15.138793192098
"Y",15.147320754548
"Y",15.4324272334032
"Y",15.3117357346826
"Y",15.1986164028091
"Y",14.6299420155631
"Y",14.8790408986533
"Y",14.9137353466166
"Y",14.9759660788961
"Y",14.9303143187094
"Y",15.1770564663717
"Y",15.3160925719677
"Y",15.5267102211733
"Y",13.4818330939327
"Y",13.7761748089727
"Y",14.0792517504982
"Y",13.6196638380212
"Y",13.8987158796649
"Y",14.038131179674
"Y",14.7589403309328
"Y",14.6616682913128
"Y",15.0923746122033
"Y",14.9540980548437
"Y",14.9956999039525
"Y",15.3754163106926
"Y",15.16472386101
"Y",15.2880444573827
"Y",14.8234034997817
"Y",14.8162452794885
"Y",15.443014507585
"Y",15.5426466389466
"Y",15.9779800094186
"Y",15.8452243387211
"Y",15.3725830610594
"Y",15.9322914175452
"Y",16.3794559579033
"Y",16.4342471960164
"Y",15.8965438720239
"Y",16.0868079529729
"Y",16.5231343559983
"Y",16.2359855247243
"Y",15.9262485016436
"Y",16.1675087777401
"Y",16.0309949325732
"Y",16.7687757624587
"Y",16.6546026450612
"Y",17.0111164379063
"Y",16.7378662172197
"Y",17.0256768695515
"Y",17.3229726148262
"Y",17.8901159105917
"Y",17.1800658624128
"Y",17.8840449147312
"Y",18.5153075824699
"Y",18.8548774223983
