"","V1"
"y",1
"Y",1.41783686988339
"Y",0.729106506220724
"Y",0.441621892303469
"Y",0.997306207559087
"Y",0.87548435509514
"Y",0.992360958220027
"Y",0.877216518917028
"Y",1.28020486955013
"Y",1.44550096862697
"Y",1.29588298468817
"Y",1.7465013352275
"Y",1.04179120269572
"Y",1.39438886137662
"Y",2.55732695560269
"Y",3.23708599850931
"Y",3.27895856072426
"Y",2.98752144793012
"Y",4.60140971061615
"Y",4.91805738756528
"Y",5.0843924574056
"Y",4.83450514589485
"Y",5.20539925841352
"Y",5.05168752304601
"Y",4.57891798793779
"Y",4.42030666038007
"Y",3.79639746128637
"Y",3.6132391106918
"Y",3.20089187690171
"Y",3.68204549693354
"Y",4.49059530686677
"Y",4.51092952329205
"Y",4.1772197117369
"Y",4.33547788824365
"Y",4.30372841731881
"Y",4.54033750013561
"Y",4.76370963867429
"Y",4.93422706765956
"Y",5.73858056289695
"Y",5.78721883622852
"Y",5.62871118800693
"Y",6.01259227484841
"Y",7.12048992933922
"Y",7.15309648895422
"Y",7.19893788448928
"Y",7.44539027307423
"Y",7.14548683257225
"Y",7.05399364508419
"Y",6.91201765524785
"Y",7.34614985066738
"Y",7.36030707641565
"Y",7.29843426924792
"Y",7.48450734825227
"Y",6.82487064855614
"Y",7.0745615965979
"Y",6.95745650492593
"Y",6.84644310254444
"Y",6.57149475220802
"Y",5.65429638896758
"Y",5.8640907328851
"Y",6.19186959963714
"Y",6.08543479203451
"Y",6.48968837833197
"Y",6.53742780859336
"Y",6.93076405799222
"Y",6.3639758755511
"Y",6.09855928324653
"Y",6.75496588733992
"Y",7.48706100286527
"Y",7.43847325310597
"Y",7.70915818139284
"Y",7.84329285329985
"Y",7.79053016444745
"Y",7.92515657676041
"Y",8.00820118001332
"Y",7.08651035240033
"Y",7.92252858456427
"Y",7.97898171436273
"Y",7.89620940021731
"Y",7.7739950741221
"Y",7.90215011661996
"Y",7.64557791153504
"Y",7.87630669261323
"Y",7.92378951375897
"Y",8.70505519469106
"Y",9.04046896668301
"Y",9.05746090821462
"Y",9.185113348243
"Y",10.0141111260098
"Y",10.0031894380114
"Y",10.2705512996244
"Y",10.0659696003083
"Y",10.007568660774
"Y",10.2113191902838
"Y",10.8933659386758
"Y",11.0025801028519
"Y",10.9226243870922
"Y",10.9093350682159
"Y",10.834429473655
"Y",11.1420580640244
"Y",11.3217942201645
"Y",13.0046174317636
"Y",13.0082317174319
"Y",13.5860119501569
"Y",13.6644576817565
"Y",14.0256372215315
"Y",14.9490132849968
"Y",15.2788090599185
"Y",14.9565650296034
"Y",15.1038405486893
"Y",15.3133001952334
"Y",15.0694128756688
"Y",14.7442457924483
"Y",14.7408282663041
"Y",14.9521283449152
"Y",15.5800803788572
"Y",15.4980841141483
"Y",16.0398924552014
"Y",16.4545673362835
"Y",16.7933000695192
"Y",17.0718258866284
"Y",16.648178363855
"Y",16.5458506795688
"Y",16.2909697256229
"Y",16.5386295928108
"Y",16.5652397210367
"Y",16.809797121676
"Y",16.6428261194639
"Y",16.5944702674936
"Y",16.5817971763223
"Y",16.7219551836771
"Y",16.7789614702263
"Y",16.7125475541178
"Y",17.199270655621
"Y",16.9290613639225
"Y",17.1221844369468
"Y",18.0259362918609
"Y",18.0446546515005
"Y",19.3955545933963
"Y",19.2545872447155
"Y",19.3906983628486
"Y",19.5219969978847
"Y",19.2562270014582
"Y",19.4939006883039
"Y",19.6613096717034
"Y",19.7697325147123
"Y",19.4780821441601
"Y",19.820634269607
"Y",19.8819730487304
"Y",20.4999515070904
"Y",20.6456992218011
