"","V1"
"y",1
"Y",0.931820757901347
"Y",1.47118347414314
"Y",2.05537436472909
"Y",2.72388085449715
"Y",3.08948227518075
"Y",2.88398310301621
"Y",2.70962624462918
"Y",2.69230570969911
"Y",2.95962374021541
"Y",2.8516891677094
"Y",2.95690411802604
"Y",2.75841645124704
"Y",3.2859862576427
"Y",3.58481052637212
"Y",2.55695490613776
"Y",2.02672113482331
"Y",1.5900750809125
"Y",1.77362998331904
"Y",1.22983364034274
"Y",2.03016847854614
"Y",2.28961795515892
"Y",2.84220518472398
"Y",2.76480533064358
"Y",2.88526341469743
"Y",2.99066935949501
"Y",2.97102368824599
"Y",2.75385026581042
"Y",2.79432108959728
"Y",2.96498124188485
"Y",3.34664578691824
"Y",3.60358019974792
"Y",3.39449748213965
"Y",3.14390316869411
"Y",3.47216584414463
"Y",3.60136044401713
"Y",4.30864135746943
"Y",4.9761349394261
"Y",5.38812957733966
"Y",4.98452127137126
"Y",4.61216299065765
"Y",5.23001112075288
"Y",5.05513725283309
"Y",5.00085685135183
"Y",4.92360384264327
"Y",5.1003189018889
"Y",5.75004458255842
"Y",5.94893674274554
"Y",6.15781391968982
"Y",6.51890960326354
"Y",6.36891215263641
"Y",6.52983823491286
"Y",5.95600606371725
"Y",6.05494537226425
"Y",5.98671277442418
"Y",6.12468215276364
"Y",6.96172713141919
"Y",6.81731543160102
"Y",6.9047230539386
"Y",6.97971840901566
"Y",7.37885090480842
"Y",7.16891263650837
"Y",6.67836113098655
"Y",6.53692514221282
"Y",6.34944636764432
"Y",6.45490864901922
"Y",6.60815503438912
"Y",7.06609579107568
"Y",7.25608771031754
"Y",7.50122296508562
"Y",7.80403569277658
"Y",7.56477262142603
"Y",6.5663385147909
"Y",6.79573534760074
"Y",6.2951161456177
"Y",6.55313007125964
"Y",6.76642386259892
"Y",6.97120902089721
"Y",7.87762565179818
"Y",7.88656098002627
"Y",8.45404719145421
"Y",8.48725086908728
"Y",8.77538846961087
"Y",8.74667530384945
"Y",8.88268860496147
"Y",8.68641059312161
"Y",8.81521973086956
"Y",8.88373897148586
"Y",9.6191913742497
"Y",9.38733150402552
"Y",9.66819084474839
"Y",9.6810304062435
"Y",10.3291793669283
"Y",10.5137399182275
"Y",10.7516878902152
"Y",11.1674594478456
"Y",11.6660673495214
"Y",10.9255784680153
"Y",10.8937637343221
"Y",10.777962156271
"Y",11.1334441363431
"Y",11.3022939713437
"Y",11.272738166617
"Y",11.3961282976794
"Y",11.0836033527582
"Y",11.5087866621009
"Y",11.6546753359653
"Y",11.5547572427569
"Y",11.3933516043675
"Y",11.8610881291228
"Y",12.2462835776552
"Y",12.1377082442508
"Y",12.5052950282602
"Y",13.5399934323832
"Y",13.126152311283
"Y",12.9769107903434
"Y",13.2096080736444
"Y",13.0626978205443
"Y",12.763400894044
"Y",12.9868139231631
"Y",12.9054772969183
"Y",12.8837540630897
"Y",13.1263767448764
"Y",13.034113610893
"Y",12.7614120462044
"Y",13.3400759469156
"Y",13.4475413778801
"Y",14.3950151207485
"Y",14.8164701031528
"Y",14.9105744822072
"Y",14.8631481364043
"Y",14.8856190037924
"Y",15.051202038507
"Y",15.312001620403
"Y",15.4533736195202
"Y",15.282929514139
"Y",15.5498319786458
"Y",15.3521262466278
"Y",15.1738752145199
"Y",14.2659047323453
"Y",14.2555123629195
"Y",13.8502402159372
"Y",14.4092489803398
"Y",14.7470948558928
"Y",14.7788329472989
"Y",14.9849325889416
"Y",14.9150716648093
"Y",15.1896619171499
"Y",15.2173826655136
"Y",15.3330000330189
"Y",15.4163482879053
