"","V1"
"y",1
"Y",0.975473316425349
"Y",0.302370691376574
"Y",-0.0284137486891342
"Y",-0.00825951826386816
"Y",0.13252099121514
"Y",0.408873425329994
"Y",-0.940384141931356
"Y",-0.972062658191166
"Y",-1.11283388175925
"Y",-0.739641819295796
"Y",-0.959547675346537
"Y",-0.981096012762589
"Y",-1.11797401611463
"Y",-0.413374788968226
"Y",-0.33956036946486
"Y",-0.506808891429144
"Y",-0.608653994390012
"Y",-0.322991846663131
"Y",0.795436940211507
"Y",0.873600321996045
"Y",0.747135369100371
"Y",0.866471148715361
"Y",1.15182562224097
"Y",0.900702881317224
"Y",-0.761405100465347
"Y",-0.570179032518155
"Y",-0.739484669185738
"Y",-2.28740838026564
"Y",-1.9098186804468
"Y",-1.35672261479361
"Y",-1.33377458298387
"Y",-1.63503211126507
"Y",-1.60385819155367
"Y",-2.20646478834279
"Y",-1.92751327433669
"Y",-1.24784805579054
"Y",-0.998899134676929
"Y",-0.811409314358425
"Y",-1.11641268186551
"Y",-0.185863016401805
"Y",-0.277565284331618
"Y",-0.309532597092312
"Y",-0.613467694904614
"Y",-0.632840447736875
"Y",-0.796919080605788
"Y",-1.47204959237665
"Y",-1.65921522778869
"Y",-1.17715696434383
"Y",-1.04029065764969
"Y",-0.650249079508221
"Y",-0.79765268977231
"Y",-0.967495085300747
"Y",-0.826095387343995
"Y",-1.23798848857887
"Y",-1.21387020207242
"Y",-0.829710463446004
"Y",-0.166974450556853
"Y",0.507397089996992
"Y",1.2877883766976
"Y",0.96658518212787
"Y",0.896790022901611
"Y",0.115248848697407
"Y",0.238723165708063
"Y",1.19593602278632
"Y",1.56843684879196
"Y",1.20898774265302
"Y",1.60774560605328
"Y",1.82069611718061
"Y",1.50448011932426
"Y",1.8953859310996
"Y",2.72380749164733
"Y",3.76588023283992
"Y",3.6260765070373
"Y",3.65794477078957
"Y",2.15415933388048
"Y",2.68609876865257
"Y",3.11771146200187
"Y",3.16462375679607
"Y",3.24493410606073
"Y",2.30856307494573
"Y",2.50621810394165
"Y",2.46733140231058
"Y",2.43353034805206
"Y",2.48407047803534
"Y",2.08113101485597
"Y",1.2587648123232
"Y",1.27358947935576
"Y",1.578977222156
"Y",1.62490497136765
"Y",1.90796508971889
"Y",1.61707367140896
"Y",1.61286216572243
"Y",1.63765897891653
"Y",1.46593388404601
"Y",1.03848966446507
"Y",1.09115367313466
"Y",1.24945319955318
"Y",1.03166209103941
"Y",1.38379143020829
"Y",1.65886495815347
"Y",1.3332401190781
"Y",1.74963775587969
"Y",2.29479999544174
"Y",2.73853383055586
"Y",2.82912724874763
"Y",2.86407903835166
"Y",3.4596096222112
"Y",3.13494874632458
"Y",2.76241016402912
"Y",2.72961141628149
"Y",3.46373556370551
"Y",3.15228556660957
"Y",3.24812351470535
"Y",2.9973207968817
"Y",3.12988239329463
"Y",3.04559612182184
"Y",2.80080997116062
"Y",2.87138750571926
"Y",2.97092184224414
"Y",2.81762147456603
"Y",3.12949710999054
"Y",2.89885701064779
"Y",2.8008495598069
"Y",3.50662669190165
"Y",4.27020974823921
"Y",4.02661638331334
"Y",3.71919010387941
"Y",3.79683954671497
"Y",3.81117788584771
"Y",4.30135879674929
"Y",5.803858881876
"Y",5.54608547761693
"Y",5.21288822590013
"Y",4.88415568554734
"Y",5.13435078636244
"Y",5.16630803945161
"Y",5.21467167730445
"Y",5.14845349510818
"Y",5.30150096459568
"Y",5.30105454121541
"Y",4.98155927628945
"Y",5.16787009794897
"Y",5.43957176035571
"Y",5.49391904185936
"Y",5.32782287461354
"Y",4.91516890555854
"Y",5.55929448210259
"Y",5.33496907577409
"Y",5.60351372319483
"Y",5.52161057124662
